,loss,log_p_x_given_z,log_q_z_given_x,log_p_z 
0,213.52013549804698,-200.33902111816408,-33.46725368118287,-46.64836805725099
1,96.69357949829099,-70.37201094055173,-19.574678485870354,-45.89624687194824
2,92.69104479980464,-66.55915727233894,-19.732962993621808,-45.864850761413535
3,90.68597315978998,-64.80589273834227,-19.980748035430917,-45.860828529357875
4,89.56762908935555,-63.844188858032226,-20.12114048385621,-45.84458072662354
5,88.7959077453614,-63.20670246887207,-20.22227576446532,-45.811481323242205
6,88.25187947082522,-62.74541666412352,-20.305135974884017,-45.81159889221192
7,87.74062843322753,-62.284931205749494,-20.336496559143068,-45.79219374847411
8,87.31075297546391,-61.910080909729004,-20.385105991363528,-45.78577838897706
9,87.03380990600587,-61.683398612976085,-20.418423480987567,-45.7688349685669
