,loss,log_p_x_given_z,log_q_z_given_x,log_p_z 
0,167.3662975341796,-163.1838501831055,-2.0428546838760435,-6.225302288436888
1,5.427463656616206,-2.3193975530624376,-0.22916106057167052,-3.337227162551881
2,2.8583406780242893,-0.15824500074386572,-0.26262525785863394,-2.9627209335327156
3,3.0583721694946315,-0.12904918332099938,-0.15344356160908948,-3.0827665451049846
4,2.9308872257232674,-0.1780846127748489,-0.27636697577834135,-3.0291696006774878
5,2.8157695796966546,-0.19937947268486023,-0.3992776339471339,-3.0156677341461195
6,2.8172833240509036,-0.16702933588027968,-0.3200491722345352,-2.970303148651122
7,2.9196520645141595,-0.17737904012203218,-0.36392631816566023,-3.106199328231809
8,2.6244962486267065,-0.1261393821954727,-0.46298315877318386,-2.9613400173187236
9,2.863316970443725,-0.2400888394355774,-0.4381046450108293,-3.061332767486572
