,loss,log_p_x_given_z,log_q_z_given_x,log_p_z 
0,466.9258476933345,-462.05470411083365,-2.0499820331983933,-6.921125958237468
1,377.22366023969056,-371.1064429947094,-0.2314750172457175,-6.3486911496029625
2,350.73030766354333,-345.772282853911,-0.13313812110573056,-5.091162711759155
3,334.3428734888004,-330.2041231952136,-0.20591092991489401,-4.344661036624182
4,320.4774981148636,-316.810840848126,-0.2682455803585957,-3.934903805768943
5,307.11610200133504,-303.7479012404816,-0.26384950429201126,-3.632048139089271
6,293.6779394994809,-290.46620236167433,-0.31002312823186945,-3.5217590603647344
7,279.3915648641465,-276.2158257206785,-0.30661737383638,-3.4823569496975666
8,264.3865592087372,-261.2879122963435,-0.2876194864983045,-3.386265564568435
9,250.83710759802713,-247.90665368188783,-0.33399940046328536,-3.2644520379319983
10,237.25471148913414,-234.35320195065273,-0.31281781894496724,-3.2143284218220765
11,224.0035543321054,-221.12771374666232,-0.29532270185366455,-3.1711641444435585
12,211.32535678525514,-208.41706481161,-0.27094181405403944,-3.179234127455121
13,198.50132229961926,-195.62035031861902,-0.3605996393893338,-3.241572126557555
14,186.31509727767747,-183.6032693597335,-0.3943912836758397,-3.106219967709311
15,174.88509610333017,-172.14920082575165,-0.38351811487463444,-3.119413547878024
16,164.10081172894834,-161.3513969711111,-0.3598077271275128,-3.109223368801648
17,153.94544924965393,-151.17315442049053,-0.32235488776541965,-3.0946491519107093
18,144.31583027900015,-141.60403790051413,-0.3346061836692351,-3.0463998800591576
19,135.36532206474985,-132.6162383646904,-0.28097767512538,-3.0300602279131925
20,126.93925060803379,-124.19898291479188,-0.2855621227593739,-3.0258303503446937
21,119.1270094280001,-116.35358535187154,-0.32181339354926275,-3.095237285276003
22,111.62965354436561,-108.93393176115015,-0.34257296991499164,-3.0382948585703398
23,104.63010242317294,-101.65140263038344,-0.18829621459487123,-3.166996485070337
24,97.8516723053365,-94.98694938949392,-0.2390488734633862,-3.1037718676313566
25,91.1594282705573,-88.43909744069549,-0.3844563776179207,-3.104787729963471
26,85.36050077027912,-82.64297311517257,-0.25532768014818424,-2.9728550458256198
27,80.16078852399994,-77.41190338134764,-0.33603030594089367,-3.084915330138387
28,75.25367456750025,-72.494097552722,-0.29530312724505803,-3.054880809180344
29,70.732756409464,-67.9236192341092,-0.23400797628903694,-3.043144730072987
30,65.94816386548776,-63.22140952001645,-0.30318261475502695,-3.0299369775796237
31,61.50252339809755,-58.82532394988628,-0.31382159313446356,-2.9910211804546907
32,57.88111524944064,-55.05466620529754,-0.24707088699635066,-3.0735197338876836
33,53.872674290137944,-51.04997002323972,-0.28576832271735125,-3.108472277846518
34,50.82600340058532,-47.959337210353404,-0.22223060395379984,-3.08889673933198
35,47.73035150841822,-44.976170117342036,-0.2795299644334406,-3.0337117744397517
36,45.13138918333416,-42.35985203030745,-0.25965385168460725,-3.031190887282165
37,42.47903567929811,-39.81566252889513,-0.29770844316558004,-2.9610818156713163
38,40.18140705929529,-37.54402126843416,-0.3283909211241746,-2.9657767120795904
39,38.23520814919773,-35.48191065727909,-0.2764265750405155,-3.0297237468671203
40,36.22999896278864,-33.57365036010742,-0.3193055327180067,-2.975654116159754
41,34.50661830660664,-31.800455721118773,-0.31023099778007857,-3.016393703750417
42,32.79817832270755,-30.141055940072754,-0.33368293563776374,-2.990805257724811
43,31.417494061626968,-28.64127996903432,-0.19247646463586934,-2.9686906096301495
44,30.06946088090727,-27.33146392242817,-0.2658407472168342,-3.0038376820238337
45,28.757683379740662,-26.05368616611143,-0.29430551179743636,-2.998302797727947
