,loss,log_p_x_given_z,log_q_z_given_x,log_p_z 
0,186.6351594851755,-168.44108813741926,-28.649457882737227,-46.84352912805269
1,95.56083146507486,-68.07270384688522,-18.473238301094238,-45.961366009529264
2,92.9484506007046,-65.57459972703548,-18.561833210918305,-45.93568427727349
3,91.75493828658861,-64.51805138161117,-18.67896020991721,-45.91584724660416
4,91.01536787379429,-63.898289239010204,-18.79115434436847,-45.90823307183697
5,90.39961938297047,-63.41958400111669,-18.908760361049463,-45.88879583802671
6,89.95408911351358,-63.04864106824632,-18.948835224141877,-45.85428349136394
7,89.58123633928625,-62.71384051876604,-18.99329480856584,-45.86069059737812
8,89.27609863671508,-62.488356007334495,-19.04444697689826,-45.832189540424
9,89.01269883450954,-62.265957512818886,-19.084034083139546,-45.8307753170238
